OSF-SEL,STORE#,STORE,ADDRESS,ADDRESS2,City,State,Zip,PHONE,FAX,MANAGER EMAIL,GM EMAIL
29 San Marcos Old Spaghetti Factory,29,San Marcos Old Spaghetti Factory,111 N. Twin Oaks Valley Road,,San Marcos,CA,92069,(760) 471-0155,(999) 999-9999,sanmarcos@osf.com,sanmarcos_gm@osf.com
30 San Diego Old Spaghetti Factory,30,San Diego Old Spaghetti Factory,275 Fifth Avenue,,San Diego,CA,92101,(619) 233-4323,(999) 999-9999,sandiego@osf.com,sandiego_gm@osf.com
31 Duarte Old Spaghetti Factory,31,Duarte Old Spaghetti Factory,1431 Buena Vista,,Duarte,CA,91010,(626) 358-2115,(999) 999-9999,duarte@osf.com,duarte_gm@osf.com
32 San Jose Old Spaghetti Factory,32,San Jose Old Spaghetti Factory,51 North San Pedro,,San Jose,CA,95110,(408) 288-7488,(999) 999-9999,sanjose@osf.com,sanjose_gm@osf.com
33 Chesterfield Old Spaghetti Factory,33,Chesterfield Old Spaghetti Factory,17384 Chesterfield Airport Road,,Chesterfield,MO,63005,(636) 536-9522,(999) 999-9999,chesterfield@osf.com,chesterfield_gm@osf.com
34 Colorado Springs Old Spaghetti Factory,34,Colorado Springs Old Spaghetti Factory,3101 New Center Point,,Colorado Springs,CO,80922,(719) 387-0799,(999) 999-9999,coloradosprings@osf.com,coloradosprings_gm@osf.com
35 Corvallis Old Spaghetti Factory,35,Corvallis Old Spaghetti Factory,603 NW 2nd Street,,Corvallis,OR,97330,(541) 738-7877,(999) 999-9999,corvallis@osf.com,corvallis_gm@osf.com
36 Eugene Old Spaghetti Factory,36,Eugene Old Spaghetti Factory,27 East 5th Avenue,,Eugene ,OR,97401,(541) 735-9668,(999) 999-9999,eugene@osf.com,eugene_gm@osf.com
37 Phoenix Old Spaghetti Factory,37,Phoenix Old Spaghetti Factory,1418 N Central Avenue,,Phoenix,AZ,85004,(602) 257-0380,(999) 999-9999,phoenix@osf.com,phoenix_gm@osf.com
38 St. Louis Old Spaghetti Factory,38,St. Louis Old Spaghetti Factory,727 North First Street,,St. Louis,MO,63102,(314) 621-0276,(999) 999-9999,stlouis@osf.com,stlouis_gm@osf.com
39 Westminster Old Spaghett Factory,39,Westminster Old Spaghett Factory,9145 Sheridan Blvd,,Westminster,CO,80031,(720) 306-8874,(999) 999-9999,westminster@osf.com,westminster_gm@osf.com
40 Honolulu Old Spaghetti Factory,40,Honolulu Old Spaghetti Factory,3 Aloha Tower Drive,Suite 1106,Honolulu,HI,96813,(808) 591-2513,(999) 999-9999,honolulu@osf.com,honolulu_gm@osf.com
41 Medford Old Spaghetti Factory,41,Medford Old Spaghetti Factory,147 North Front Street,,Medford,OR,97501,(458) 225-1670,(999) 999-9999,medford@osf.com,medford_gm@osf.com
